"Phone Name","Current Price"
"SAMSUNG Galaxy F02s (Diamond Blue, 64 GB)","?10,499"
"SAMSUNG Galaxy M11 (Violet, 64 GB)","?11,270"
"SAMSUNG Galaxy F02s (Diamond Black, 64 GB)","?10,499"
"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)","?12,290"
"SAMSUNG Galaxy M21 (Midnight Blue, 64 GB)","?14,900"
"SAMSUNG Galaxy M21 (Raven Black, 64 GB)","?14,995"
"SAMSUNG Galaxy F02s (Diamond White, 64 GB)","?10,499"
"SAMSUNG Galaxy J8 (Black, 64 GB)","?19,500"
"SAMSUNG Galaxy J6 Plus (Black, 64 GB)","?14,000"
"SAMSUNG Galaxy J8 (Blue, 64 GB)","?18,990"
"SAMSUNG Galaxy J8 (Gold, 64 GB)","?19,500"
"SAMSUNG Galaxy J6 Plus (Blue, 64 GB)","?13,600"
"SAMSUNG Galaxy A20s (Black, 64 GB)","?14,900"
"SAMSUNG Galaxy J6 Plus (Red, 64 GB)","?13,600"
"SAMSUNG M02s (Black, 64 GB)","?9,873"
"SAMSUNG Galaxy M30S (Black, 128 GB)","?15,499"
"SAMSUNG M02s (Blue, 64 GB)","?10,150"
"SAMSUNG M02s (Red, 64 GB)","?9,999"
"SAMSUNG Galaxy M30S (Blue, 128 GB)","?13,990"
"SAMSUNG Galaxy A20s (Green, 64 GB)","?13,695"
"SAMSUNG Galaxy A20s (Blue, 64 GB)","?13,695"
"SAMSUNG Galaxy M21 (Iceberg Blue, 64 GB)","?13,760"
"SAMSUNG Galaxy M30S (Pearl white, 128 GB)","?16,999"
"SAMSUNG Galaxy On8 (Black, 64 GB)","?19,990"
